Cameroon,-9185,-12254,-9889,-9889,-4800
Bulgaria,-12115,-11439,-9902,-8716,-4800
Montenegro,-2024,-1636,-1326,-101,-480
Virgin Islands (U.S.),-458,-458,0,-224,-450
Latin America & Caribbean (excluding high income),726696,356034,262615,137206,-430551
Namibia,-8596,-8596,-4301,-4301,-4061
Sierra Leone,-2741,-2238,1292,-1544,-4000
Lesotho,-3234,-2989,-1490,-1490,-4000
Guinea,-9195,-3243,-4364,-4367,-4000
Turkmenistan,-9614,-9612,-4502,-4503,-4000
Tunisia,-21013,-19609,-9189,-9189,-4000
Kiribati,-776,-691,-296,-296,-400
Dominica,194,326,100,57,-40
Morocco,-89007,-91959,-33807,-46242,-39998
Mali,-40761,-44428,-14978,-22236,-39998
"Iran, Islamic Rep.",-29981,-34571,-156669,28080,-39998
Tanzania,-56813,-64819,-15795,-4865,-39997
Guyana,30080,-24678,802,-4316,-3900
Fiji,-11738,-11865,-6003,-6003,-3557
Myanmar,-114634,-100810,-66228,-35382,-34998
Haiti,-35007,-34635,-33872,-32977,-32248
China,-296674,-302609,-33649,-200194,-311380
Bangladesh,-323380,-344054,-61154,-174500,-309977
South Sudan,-297041,2048,-74415,-31885,-30694
Turkiye,-261813,-218341,-80952,-69729,-301586
Somalia,40844,48055,-11383,-17071,-30000
Bolivia,-9345,-8978,-4666,-4666,-3000
"Gambia, The",-3936,-4186,-1960,-1960,-3000
"Yemen, Rep.",-39699,-39769,-86100,-101468,-29998
"Egypt, Arab Rep.",-61050,-59715,4476,-32370,-29998
Cambodia,-51685,-55607,-22308,-24262,-29998
Dominican Republic,-29944,-29830,-14966,-14966,-29294
Africa Eastern and Southern,-366105,-187410,-48955,-179444,-274282
Burkina Faso,-23971,-25277,-5665,-13097,-24998
Gibraltar,-58,-58,-58,-58,-24
El Salvador,-54158,-55143,-25214,-27343,-23249
Ecuador,153372,71801,35894,35894,-20206
Togo,-1997,-1997,-995,-995,-2000
Croatia,-13171,-12480,-11592,-10402,-2000
Chad,46664,-9469,9016,9016,-2000
"Korea, Dem. People's Rep.",-3223,-3139,-1589,-1589,-2000
Libya,5835,-1352,-696,-696,-2000
Comoros,-2919,-2917,-1772,-1772,-2000
Grenada,-190,-190,0,-85,-200
St. Vincent and the Grenadines,-807,-758,-379,-379,-200
Seychelles,276,305,146,146,-200
Benin,3368,3363,1732,1732,-200
Palau,8,8,7,3,-20
Tajikistan,-10135,-7192,-3564,-3564,-19999
Uzbekistan,-60066,-69397,-39203,-39201,-19999
Senegal,-19973,-19973,-10090,-10091,-19999
Central African Republic,-53083,-36942,-24803,-85860,-17463
Eritrea,-21435,-29849,-14987,-14988,-17152
Colombia,494364,395803,229437,211978,-167924
Pakistan,-1309609,-1177218,-588736,-471395,-165988
Lebanon,-233520,-237572,-115146,-115122,-160237
Solomon Islands,-1603,-1603,-808,-808,-1600
Caribbean small states,54518,-53765,2389,-7303,-15599
Lithuania,-14451,-13398,-12625,-11853,-15192
Uruguay,-2963,-2902,-1486,-1486,-1500
Madagascar,485,-1487,-742,-742,-1500
Samoa,-2739,-2469,-1060,-882,-1500
"Congo, Dem. Rep.",-124242,-144916,-1643,-64643,-14999
Jordan,33554,28963,18092,14374,-141192
Guinea-Bissau,-1396,-1395,-1394,-1395,-1400
Nauru,-39,-107,-68,-66,-140
